ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Type,Full Description,Principle Summary,Reference Principles,Mapping Rationale,Full BCBS Description,Principle Summary (Source: FDR)
e71bbb5c-5bca-4ba2-bda5-a05c182bfeca,Layer,,Principles for effective risk data aggregation and risk reporting,,,,,,,,Framework,,,,,,
2ff2d3ee-d9e3-4a74-ae93-dd621be57f0b,Object,e71bbb5c-5bca-4ba2-bda5-a05c182bfeca,Overarching governance and infrastructure,,,,,,,,Section,"A bank should have in place a strong governance framework, risk data architecture and IT infrastructure. These are preconditions to ensure compliance with the other Principles included in this document. In particular, a bank’s board should oversee senior management’s ownership of implementing all the risk data aggregation and risk reporting principles and the strategy to meet them within a timeframe agreed with their supervisors.",,,,,
dc7b2c17-4a21-4057-8d5a-b1577a25f368,Group,2ff2d3ee-d9e3-4a74-ae93-dd621be57f0b,Principle 1,,,,,,,,Principle,A bank’s risk data aggregation capabilities and risk reporting practices should be subject to strong governance arrangements consistent with other principles and guidance established by the Basel Committee.,Governance,"Principles for Enhancing Corporate Governance, Enhancements to the Basel II framework",,,
4f8648a1-9be2-42a3-aeaa-7f44a8bf03b2,Attribute,dc7b2c17-4a21-4057-8d5a-b1577a25f368,27,,,,,,,,Paragraph,"A bank’s board and senior management should promote the identification, assessment and management of data quality risks as part of its overall risk management framework. The framework should include agreed service level standards for both outsourced and in-house risk data-related processes, and a firm’s policies on data confidentiality, integrity and availability, as well as risk management policies.",,,,,
a48c1305-6982-4cd8-8d85-f4dd19d8c63d,Attribute,dc7b2c17-4a21-4057-8d5a-b1577a25f368,28,,,,,,,,Paragraph,A bank’s board and senior management should review and approve the bank’s group risk data aggregation and risk reporting framework and ensure that adequate resources are deployed.,,,,,
7ef0247a-9e9e-48d5-8bed-99fe385e41b7,Group,dc7b2c17-4a21-4057-8d5a-b1577a25f368,29,,,,,,,,Paragraph,A bank’s risk data aggregation capabilities and risk reporting practices should be:,,,,,
aa60f95c-c74d-4bac-a127-f03777cf1bdc,Attribute,7ef0247a-9e9e-48d5-8bed-99fe385e41b7,(a),,,,,,,,Paragraph,"Fully documented and subject to high standards of validation. This validation should be independent and review the bank’s compliance with the Principles in this document. The primary purpose of the independent validation is to ensure that a bank's risk data aggregation and reporting processes are functioning as intended and are appropriate for the bank's risk profile. Independent validation activities should be aligned and integrated with the other independent review activities within the bank's risk management program, and encompass all components of the bank's risk data aggregation and reporting processes. Common practices suggest that the independent validation of risk data aggregation and risk reporting practices should be conducted using staff with specific IT, data and reporting expertise.",,,,,
29ae7ec6-41e9-4ea8-916e-579ceb3597ed,Attribute,7ef0247a-9e9e-48d5-8bed-99fe385e41b7,(b),,,,,,,,Paragraph,"Considered as part of any new initiatives, including acquisitions and/or divestitures, new product development, as well as broader process and IT change initiatives. When considering a material acquisition, a bank’s due diligence process should assess the risk data aggregation capabilities and risk reporting practices of the acquired entity, as well as the impact on its own risk data aggregation capabilities and risk reporting practices. The impact on risk data aggregation should be considered explicitly by the board and inform the decision to proceed. The bank should establish a timeframe to integrate and align the acquired risk data aggregation capabilities and risk reporting practices within its own framework.",,,,,
03b8a7cc-25a7-4ba2-b9a0-18425af2609b,Attribute,7ef0247a-9e9e-48d5-8bed-99fe385e41b7,(c),,,,,,,,Paragraph,"Unaffected by the bank’s group structure. The group structure should not hinder risk data aggregation capabilities at a consolidated level or at any relevant level within the organisation (eg sub-consolidated level, jurisdiction of operation level). In particular, risk data aggregation capabilities should be independent from the choices a bank makes regarding its legal organisation and geographical presence.",,,,,
6da746fa-4ab5-45b6-b15c-462662827ea7,Attribute,dc7b2c17-4a21-4057-8d5a-b1577a25f368,30,,,,,,,,Paragraph,"A bank’s senior management should be fully aware of and understand the limitations that prevent full risk data aggregation, in terms of coverage (eg risks not captured or subsidiaries not included), in technical terms (eg model performance indicators or degree of reliance on manual processes) or in legal terms (legal impediments to data sharing across jurisdictions). Senior management should ensure that the bank’s IT strategy includes ways to improve risk data aggregation capabilities and risk reporting practices and to remedy any shortcomings against the Principles set forth in this document taking into account the evolving needs of the business. Senior management should also identify data critical to risk data aggregation and IT infrastructure initiatives through its strategic IT planning process, and support these initiatives through the allocation of appropriate levels of financial and human resources.",,,,,
28045e52-bf50-4c46-8146-4377f6559f0b,Attribute,dc7b2c17-4a21-4057-8d5a-b1577a25f368,31,,,,,,,,Paragraph,"A bank’s board is responsible for determining its own risk reporting requirements and should be aware of limitations that prevent full risk data aggregation in the reports it receives. The board should also be aware of the bank’s implementation of, and ongoing compliance with the Principles set out in this document.",,,,,
17a1883c-fd14-4523-a114-6295c0cdce2d,Group,2ff2d3ee-d9e3-4a74-ae93-dd621be57f0b,Principle 2,,8b150c73-f267-49ec-bbc3-cd1ff91d0138,,,,,,Principle,"A bank should design, build and maintain data architecture and IT infrastructure which fully supports its risk data aggregation capabilities and risk reporting practices not only in normal times but also during times of stress or crisis, while still meeting the other Principles.",Data architecture and IT infrastructure,,,,
fc2dd19a-c3d4-4c8e-a75e-dfa7b9161112,Transition,,,17a1883c-fd14-4523-a114-6295c0cdce2d,8b150c73-f267-49ec-bbc3-cd1ff91d0138,,,,,,,,,,"BCBS Climate Risk Principle 7 states that risk data aggregation capabilities and internal risk reporting practices should account for climate-related financial risks. The existing data architecture and IT infrastructure required under BCBS 239 Principle 2 will therefore need to be extended to include climate risk-related data, as described by BCBS Climate Risk Paragraph 31.",,
ef8ad499-aeb4-4235-b326-25f382b624d9,Attribute,17a1883c-fd14-4523-a114-6295c0cdce2d,32,,,,,,,,Paragraph,Risk data aggregation capabilities and risk reporting practices should be given direct consideration as part of a bank’s business continuity planning processes and be subject to a business impact analysis.,,,,,
03f15e1a-8a4a-44f7-bb30-dd42bf8b11a6,Attribute,17a1883c-fd14-4523-a114-6295c0cdce2d,33,,,,,,,,Paragraph,"A bank should establish integrated data taxonomies and architecture across the banking group, which includes information on the characteristics of the data (metadata), as well as use of single identifiers and/or unified naming conventions for data including legal entities, counterparties, customers and accounts.",,,,,
7eea50dc-828e-4033-9222-c6e1a5b35ade,Attribute,17a1883c-fd14-4523-a114-6295c0cdce2d,34,,,,,,,,Paragraph,"Roles and responsibilities should be established as they relate to the ownership and quality of risk data and information for both the business and IT functions. The owners (business and IT functions), in partnership with risk managers, should ensure there are adequate controls throughout the lifecycle of the data and for all aspects of the technology infrastructure. The role of the business owner includes ensuring data is correctly entered by the relevant front office unit, kept current and aligned with the data definitions, and also ensuring that risk data aggregation capabilities and risk reporting practices are consistent with firms’ policies.",,,,,
64b61e5b-79a9-4444-bcf1-39f96a03e010,Object,e71bbb5c-5bca-4ba2-bda5-a05c182bfeca,Risk data aggregation capabilities,,,,,,,,Section,Banks should develop and maintain strong risk data aggregation capabilities to ensure that risk management reports reflect the risks in a reliable way (ie meeting data aggregation expectations is necessary to meet reporting expectations). Compliance with these Principles should not be at the expense of each other. These risk data aggregation capabilities should meet all Principles below simultaneously in accordance with paragraph 22 of this document.,,,,,
055a241a-59c8-476e-925b-6fee4ed64c65,Group,64b61e5b-79a9-4444-bcf1-39f96a03e010,Principle 3,,,,,,,,Principle,A bank should be able to generate accurate and reliable risk data to meet normal and stress/crisis reporting accuracy requirements. Data should be aggregated on a largely automated basis so as to minimise the probability of errors.,Accuracy and Integrity,,,,
f64cb051-904b-4499-9214-bb3f3cada88c,Group,055a241a-59c8-476e-925b-6fee4ed64c65,36,,8b150c73-f267-49ec-bbc3-cd1ff91d0138,,,,,,Paragraph,A bank should aggregate risk data in a way that is accurate and reliable.,,,,,
a108a013-dade-4f6c-a0b1-fbe468e75830,Transition,,,f64cb051-904b-4499-9214-bb3f3cada88c,8b150c73-f267-49ec-bbc3-cd1ff91d0138,,,,,,,,,,"BCBS Climate Risk Principle 7 states that risk data aggregation capabilities and internal risk reporting practices should account for climate-related financial risks. The existing accuracy and reliability controls for aggregation of risk data required under BCBS 239 Principle 3 will therefore need to be extended to include climate risk-related data, as described by BCBS Climate Risk Paragraph 31.",,
1e43a425-99c4-4d2e-9db0-c93a7b31c027,Attribute,f64cb051-904b-4499-9214-bb3f3cada88c,(a),,,,,,,,Paragraph,Controls surrounding risk data should be as robust as those applicable to accounting data.,,,,,
febbdbe7-9474-4e5d-8d26-64a4853dcb58,Attribute,f64cb051-904b-4499-9214-bb3f3cada88c,(b),,,,,,,,Paragraph,"Where a bank relies on manual processes and desktop applications (eg spreadsheets, databases) and has specific risk units that use these applications for software development, it should have effective mitigants in place (eg end-user computing policies and procedures) and other effective controls that are consistently applied across the bank’s processes.",,,,,
b52939b9-4753-4fca-95d9-97ec4993f807,Attribute,f64cb051-904b-4499-9214-bb3f3cada88c,(c),,,,,,,,Paragraph,"Risk data should be reconciled with bank’s sources, including accounting data where appropriate, to ensure that the risk data is accurate.",,,,,
de228f3e-7d85-4ee5-b9ff-f6220a583cec,Attribute,f64cb051-904b-4499-9214-bb3f3cada88c,(d),,,,,,,,Paragraph,A bank should strive towards a single authoritative source for risk data per each type of risk.,,,,,
c6478280-0d94-4739-9b5c-af3daf23eccc,Attribute,f64cb051-904b-4499-9214-bb3f3cada88c,(e),,,,,,,,Paragraph,"A bank’s risk personnel should have sufficient access to risk data to ensure they can appropriately aggregate, validate and reconcile the data to risk reports.",,,,,
