ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,Title,Guidance,Comments,Connected to other Frameworks,Footnotes,KPI,Unit of Measure,Example,Rationale,Alignment with Other Reporting Frameworks,EU Policy Reference,Disclosure Requirement,Other ESRS,CSRD,TCFD,Other Regulation,Text,EBA Pillar 3,EU Taxonomy,SFDR,Key DR Tag
359560f8-36dd-4174-a248-c86d428a532f,Layer,,TCFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b403aea-90ae-4d19-a968-41d22914f491,Object,359560f8-36dd-4174-a248-c86d428a532f,Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e85d99c-26d9-464f-9fba-058d5681fd4b,Attribute,0b403aea-90ae-4d19-a968-41d22914f491,Recommended Disclosure a),,821bf35e-b904-4e5f-96cd-0318ffb7c55c,,,,,,Qualitative,Describe the board’s oversight of climate-related risks and opportunities.,"In describing the board’s oversight of climate-related issues, organizations should consider including a discussion of the following: ‒ processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues; ‒ whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organization’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures; and ‒ how the board monitors and oversees progress against goals and targets for addressing climate-related issues.",,,,,,,,,,,,,,,,,,,
cf94f800-dc0a-4c81-ba92-52514c8439a2,Transition,,,1e85d99c-26d9-464f-9fba-058d5681fd4b,821bf35e-b904-4e5f-96cd-0318ffb7c55c,,,,,,,,,,,,,,,,,,,,,,,,,,,
5af49c2c-3ff5-4628-be10-4360013c40b7,Attribute,0b403aea-90ae-4d19-a968-41d22914f491,Recommended Disclosure b),,"05e6ad50-6d11-408c-8000-ec11edfd1a87,0fb5b1ab-39c6-406b-92c4-16e9fb33baf2",,,,,,Qualitative,Describe management’s role in assessing and managing climate-related risks and opportunities.,"In describing management’s role related to the assessment and management of climate-related issues, organizations should consider including the following information: ‒ whether the organization has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues; ‒ a description of the associated organizational structure(s); ‒ processes by which management is informed about climate-related issues; and ‒ how management (through specific positions and/or management committees) monitors climate-related issues.",,,,,,,,,,,,,,,,,,,
0198348b-6897-46d7-bdae-5038f74fa6a3,Transition,,,5af49c2c-3ff5-4628-be10-4360013c40b7,05e6ad50-6d11-408c-8000-ec11edfd1a87,,,,,,,,,,,,,,,,,,,,,,,,,,,
13eef086-9526-4a61-a5f6-afac09542ff8,Transition,,,5af49c2c-3ff5-4628-be10-4360013c40b7,0fb5b1ab-39c6-406b-92c4-16e9fb33baf2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c653d24-d1c4-4157-90a8-5ef4d4784a38,Object,359560f8-36dd-4174-a248-c86d428a532f,Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33f6c0ba-12b3-4415-80b2-3a6feed08ed0,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure a),,"24687321-b06b-446c-9663-75e78b16a095,57c61f79-adea-4ec1-b4f1-d6edaeaaa35c,f5ed00d4-7fb1-4a4a-a1e9-fc7e00a96bda,9baaa935-a5b4-4998-98c7-f4b74c9a8ed7",,,,,,Qualitative,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","Organizations should provide the following information: ‒ a description of what they consider to be the relevant short-, medium-, and longterm horizons, taking into consideration the useful life of the organization’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms; ‒ a description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organization; and ‒ a description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organization. Organizations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate. In describing climate-related issues, organizations should refer to Tables A1.1 and A1.2 (pp. 75–76).",,,,,,,,,,,,,,,,,,,
dd078608-dd47-4b9f-bd81-36da76549ffc,Transition,,,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,24687321-b06b-446c-9663-75e78b16a095,,,,,,,,,,,,,,,,,,,,,,,,,,,
b28eb887-74f8-4dc6-99ae-92ba522537d1,Transition,,,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,57c61f79-adea-4ec1-b4f1-d6edaeaaa35c,,,,,,,,,,,,,,,,,,,,,,,,,,,
16a2cf38-c3de-44d5-9ef8-561968482888,Transition,,,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,f5ed00d4-7fb1-4a4a-a1e9-fc7e00a96bda,,,,,,,,,,,,,,,,,,,,,,,,,,,
19e22ff6-30ce-4b5e-966a-acc76c42f3dd,Transition,,,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,9baaa935-a5b4-4998-98c7-f4b74c9a8ed7,,,,,,,,,,,,,,,,,,,,,,,,,,,
52d71f8b-955c-4c4a-bedb-fd23e60429bb,Attribute,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,Supplemental Guidance for Banks,,,,,,,,Quantitative,Supplemental Guidance for Banks,"Banks should describe significant concentrations of credit exposure to carbon-related assets. Additionally, banks should consider disclosing their climate-related risks (transition and physical) in their lending and other financial intermediary business activities.",,,,,,,,,,,,,,,,,,,
743e65b8-3187-4b93-99af-7c9989148a9c,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure b),,"98482713-1463-4a96-89f1-eae2e7249c33,66fcfee8-4c6e-434f-9f02-c93b83eceb69,57c61f79-adea-4ec1-b4f1-d6edaeaaa35c,d5ad5d5d-2d0f-48af-b307-c98ced6ec42d,a269b317-ec13-4c78-bfaa-bd22ac6a1418,78393a15-103b-41ff-afe2-1f584837a5d9,98e2e927-c855-4540-ba71-21aaf1c20c74",,,,,,Qualitative,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.","Building on recommended disclosure (a), organizations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning. Organizations should consider including the impact on their businesses, strategy, and financial planning in the following areas: ‒ Products and services ‒ Supply chain and/or value chain ‒ Adaptation and mitigation activities ‒ Investment in research and development ‒ Operations (including types of operations and location of facilities) ‒ Acquisitions or divestments ‒ Access to capital Organizations should describe how climate related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritized. Organizations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time. Organizations should describe the impact of climate-related issues on their financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities). If climate-related scenarios were used to inform the organization’s strategy and financial planning, such scenarios should be described. Organizations that have made GHG emissions reduction commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding GHG emissions reductions should describe their plans for transitioning to a low-carbon economy, which could include GHG emissions targets and specific activities intended to reduce GHG emissions in their operations and value chain or to otherwise support the transition.",,,,,,,,,,,,,,,,,,,
f346dcf6-3078-432c-bf34-9184e2bd5500,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,98482713-1463-4a96-89f1-eae2e7249c33,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b3577cd-f7bd-44e6-aa1d-3aea40f93b2b,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,66fcfee8-4c6e-434f-9f02-c93b83eceb69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e3cc86a-32e7-4843-8341-cf25b9d3f33f,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,57c61f79-adea-4ec1-b4f1-d6edaeaaa35c,,,,,,,,,,,,,,,,,,,,,,,,,,,
af704a24-c557-49a9-b5b7-c76dc3526298,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,d5ad5d5d-2d0f-48af-b307-c98ced6ec42d,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee521973-cf99-4995-80e9-4e9e6aa7e41e,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,a269b317-ec13-4c78-bfaa-bd22ac6a1418,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ad5af43-efe3-4293-ba2c-85857b28dc74,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,78393a15-103b-41ff-afe2-1f584837a5d9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddb40f90-16ff-4231-bc29-eafffbe2e3ce,Transition,,,743e65b8-3187-4b93-99af-7c9989148a9c,98e2e927-c855-4540-ba71-21aaf1c20c74,,,,,,,,,,,,,,,,,,,,,,,,,,,
c079602b-8cca-4b4e-8aa0-279bb0e579a7,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Insurance Companies,,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies should describe the potential impacts of climate-related risks and opportunities as well as provide supporting quantitative information where available, on their core businesses, products, and services, including: ‒ information at the business division, sector, or geography levels; ‒ how the potential impacts influence client or broker selection; and ‒ whether specific climate-related products or competencies are under development, such as insurance of green infrastructure, specialty climate-related risk advisory services, and climate-related client engagement.",,,,,,,,,,,,,,,,,,,
e92d54d6-1cf3-4db1-a4b1-f98a0d3cddcc,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Asset Owners,,,,,,,,Qualitative,Supplemental Guidance for Asset Owners,Asset owners should describe how climate-related risks and opportunities are factored into relevant investment strategies. This could be described from the perspective of the total fund or investment strategy or individual investment strategies for various asset classes.,,,,,,,,,,,,,,,,,,,
a769271a-febb-48be-9d49-7ab631819550,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Asset Managers,,,,,,,,Qualitative,Supplemental Guidance for Asset Managers,Asset managers should describe how climate-related risks and opportunities are factored into relevant products or investment strategies. Asset managers should also describe how each product or investment strategy might be affected by the transition to a low-carbon economy.,,,,,,,,,,,,,,,,,,,
36058f69-8afa-4f8e-9e23-fc02cd6805e9,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure c),,"d58afec3-de79-4878-969a-7a395c2c759d,24687321-b06b-446c-9663-75e78b16a095,2fe4e453-6f9d-4f0a-9d3b-f27b12202b91,38d5299c-3595-441f-afbc-1934b4b35387",,,,,,Qualitative,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.","Organizations should describe how resilient their strategies are to climate-related risks and opportunities, taking into consideration a transition to a low-carbon economy consistent with a 2°C or lower scenario and, where relevant to the organization, scenarios consistent with increased physical climate-related risks. Organizations should consider discussing: ‒ where they believe their strategies may be affected by climate-related risks and opportunities; ‒ how their strategies might change to address such potential risks and opportunities; ‒ the potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities); and ‒ the climate-related scenarios and associated time horizon(s) considered. Refer to Section D in the Task Force’s report for information on applying scenarios to forward-looking analysis.",,,,,,,,,,,,,,,,,,,
29181662-42ee-4706-af69-8b3c1404236d,Transition,,,36058f69-8afa-4f8e-9e23-fc02cd6805e9,d58afec3-de79-4878-969a-7a395c2c759d,,,,,,,,,,,,,,,,,,,,,,,,,,,
a623cea2-11e0-46c7-8bda-d456c2b03bb3,Transition,,,36058f69-8afa-4f8e-9e23-fc02cd6805e9,24687321-b06b-446c-9663-75e78b16a095,,,,,,,,,,,,,,,,,,,,,,,,,,,
46ec2ab0-9336-4806-8c27-acd50d888f32,Transition,,,36058f69-8afa-4f8e-9e23-fc02cd6805e9,2fe4e453-6f9d-4f0a-9d3b-f27b12202b91,,,,,,,,,,,,,,,,,,,,,,,,,,,
07cbdda0-388a-4354-b770-d68f8b5c726f,Transition,,,36058f69-8afa-4f8e-9e23-fc02cd6805e9,38d5299c-3595-441f-afbc-1934b4b35387,,,,,,,,,,,,,,,,,,,,,,,,,,,
be6bc5ff-173e-4b7a-bd01-0ffeb9ba47b1,Attribute,36058f69-8afa-4f8e-9e23-fc02cd6805e9,Supplemental Guidance for Insurance Companies,,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies that perform climate-related scenario analysis on their underwriting activities should provide the following information: ‒ description of the climate-related scenarios used, including the critical input parameters, assumptions and considerations, and analytical choices. In addition to a 2°C scenario, insurance companies with substantial exposure to weather-related perils should consider using a greater than 2°C scenario to account for physical effects of climate change and ‒ time frames used for the climate-related scenarios, including short-, medium-, and long-term milestones.",,,,,,,,,,,,,,,,,,,
